[DATA] Client: 24fc8529-ea14-4a07-a2cc-5228efcd4dbc | Fuel: 33.5712 | Consumption: 0
[DATA] Client: 24fc8529-ea14-4a07-a2cc-5228efcd4dbc | Fuel: 33.571 | Consumption: 0.000278473
[DATA] Client: 24fc8529-ea14-4a07-a2cc-5228efcd4dbc | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: 24fc8529-ea14-4a07-a2cc-5228efcd4dbc | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5712 | Consumption: 0
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.571 | Consumption: 0.000278473
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: f9b15fd5-729f-482e-bfdd-0781075a1397 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5712 | Consumption: 0
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.571 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5707 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5704 | Consumption: 0.000274658
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5701 | Consumption: 0.000282288
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5699 | Consumption: 0.000274658
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5696 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5693 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.569 | Consumption: 0.000282288
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5687 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5685 | Consumption: 0.000278473
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5682 | Consumption: 0.000274658
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5678 | Consumption: 0.000404358
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5674 | Consumption: 0.000400543
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.567 | Consumption: 0.000408173
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5666 | Consumption: 0.000404358
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5662 | Consumption: 0.000408173
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5658 | Consumption: 0.000362396
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5656 | Consumption: 0.000221252
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5653 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5651 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5648 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5645 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5643 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.564 | Consumption: 0.000267029
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5638 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5635 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5632 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.563 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5627 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5625 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5622 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5619 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5617 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5614 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5611 | Consumption: 0.000263214
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5609 | Consumption: 0.000259399
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5606 | Consumption: 0.000267029
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.5603 | Consumption: 0.000297546
[DATA] Client: b9660520-d235-4a37-801d-0b43d88112a9 | Fuel: 33.56 | Consumption: 0.000301361
